,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Windspeed (mph)
75,Lavrentiya,RU,15.24,65.58,-170.99,100,0,37.38
76,Russell,AR,75.2,-33.01,-68.8,33,0,2.24
77,Chuy,UY,60.87,-33.69,-53.46,90,0,5.73
78,Kaitangata,NZ,61,-46.28,169.85,54,0,4
79,Tiksi,RU,27.12,71.64,128.87,73,64,12.44
80,Thompson,CA,19.4,55.74,-97.86,73,90,9.17
81,Tuktoyaktuk,CA,8.6,69.44,-133.03,84,75,10.29
82,Codrington,AU,79,-28.95,153.24,73,0,3.49
83,Osypenko,UA,46.4,48.04,34.39,52,0,8.95
84,Saint-Leu,RE,77,-21.15,55.28,69,0,6.93
85,Ancud,CL,60.8,-41.87,-73.83,87,90,5.82
86,Santa Marta,CO,89.6,11.24,-74.21,52,40,16.11
87,Fortuna,ES,60.8,38.18,-1.13,51,20,8.05
88,Belyy Yar,RU,24.8,53.6,91.39,68,0,4.47
89,Mahebourg,MU,80.6,-20.41,57.7,78,40,14.99
90,Coihaique,CL,57.2,-45.58,-72.07,87,75,6.93
91,Klaksvik,FO,39.2,62.23,-6.59,69,80,14.99
92,Grindavik,IS,39.2,63.84,-22.43,69,75,10.29
93,Ribeira Grande,PT,59.43,38.52,-28.7,98,76,16.91
94,Lingao,CN,75.36,19.91,109.69,93,48,4.27
95,Srednekolymsk,RU,14.97,67.46,153.71,76,12,3.15
96,Hasaki,JP,46.4,35.73,140.83,87,75,11.41
97,Playas,EC,81.57,-2.64,-80.39,66,48,7.96
98,Lanzhou,CN,37.4,36.06,103.82,55,0,4.47
99,Ramshir,IR,73.4,30.89,49.41,73,40,6.93
100,Piombino,IT,52,42.93,10.52,87,0,2.24
101,Port Blair,IN,84,11.67,92.75,100,0,1.25
102,Gander,CA,30.2,48.95,-54.61,100,90,5.82
103,Yar-Sale,RU,14.07,66.83,70.83,74,0,7.29
104,Mao,DO,80.6,19.55,-71.08,61,20,13.87
105,Mayo,CA,37.4,63.59,-135.9,69,75,9.17
106,Sorong,ID,82.83,-0.86,131.25,100,48,3.15
107,Kruisfontein,ZA,64.74,-34,24.73,79,44,13.11
108,Taoudenni,ML,56.1,22.68,-3.98,38,0,4.38
109,Lagoa,PT,59,37.14,-8.45,93,20,10.29
110,Castro,CL,60.8,-42.48,-73.76,87,90,5.82
111,Solginskiy,RU,21.09,61.05,41.34,62,0,5.84
112,Clyde River,CA,8.6,70.47,-68.59,92,68,3.36
113,Carnarvon,ZA,55.92,-30.97,22.13,85,56,11.65
114,Smithers,CA,50,54.78,-127.17,46,75,9.17
115,Beringovskiy,RU,11.91,63.05,179.32,98,64,26.08
116,Raudeberg,NO,39.2,61.99,5.14,44,0,17.22
117,Naze,NG,78.51,5.43,7.07,84,68,4.94
118,New Norfolk,AU,60.01,-42.78,147.06,44,20,11.41
119,North Bend,US,60.01,43.41,-124.22,100,90,18.34
120,Emerald,AU,77,-23.53,148.16,64,0,5.82
121,General Roca,AR,71.6,-39.03,-67.58,64,0,2.48
122,Pacific Grove,US,78.01,36.62,-121.92,64,1,5.82
123,Saveh,IR,44.4,35.02,50.36,90,8,3.15
124,Yatou,CM,80.6,3.63,9.81,100,75,5.82
125,Cape Town,ZA,64,-33.93,18.42,93,0,12.75
126,Sinnamary,GF,80.22,5.38,-52.96,93,92,12.66
127,Myingyan,MM,71.6,21.46,95.39,78,20,3.36
128,Cidreira,BR,68.34,-30.17,-50.22,98,100,10.2
129,Qaanaaq,GL,22.08,77.48,-69.36,85,80,13
130,Aklavik,CA,17.6,68.22,-135.01,52,75,6.93
131,Faanui,PF,84.54,-16.48,-151.75,100,56,16.35
132,Samarai,PG,78.15,-10.62,150.67,100,76,4.94
133,Koumac,NC,79.23,-20.56,164.28,73,0,8.19
134,Kedrovyy,RU,21.2,56.17,91.82,79,0,2.24
135,Colac,AU,63,-38.34,143.59,85,0,7
136,Avera,US,80.6,33.19,-82.53,65,75,4.7
137,Roebourne,AU,82.02,-20.77,117.15,63,12,4.38
138,Hilo,US,84,19.71,-155.08,61,20,11.41
139,Meybod,IR,64.4,32.25,54.02,55,75,6.93
140,Mazamari,PE,64.56,-11.33,-74.53,86,24,1.36
141,Bluff,AU,78.6,-23.58,149.07,55,0,6.29
142,Santa Maria,BR,68,-29.69,-53.81,94,75,4.7
143,Turukhansk,RU,24.51,65.8,87.96,92,92,14.23
144,Shingu,JP,59,33.72,135.99,62,20,12.75
145,Luderitz,NA,57.72,-26.65,15.16,92,0,12.33
146,Ziro,IN,49.17,27.54,93.82,95,80,1.59
147,Saint George,GR,55.99,39.45,22.34,93,40,4.7
148,Pisco,PE,71.6,-13.71,-76.2,30,0,5.82
149,Tuy Hoa,VN,75.36,13.08,109.3,99,20,5.17
150,Ulladulla,AU,77,-35.36,150.48,38,0,8.05
151,Tubmanburg,LR,78.42,6.87,-10.82,91,80,5.95
152,Los Llanos de Aridane,ES,64.4,28.66,-17.92,72,75,3.36
153,La Paz,MX,80.6,24.15,-110.32,28,5,11.41
154,Plouzane,FR,46.99,48.38,-4.62,100,36,8.05
155,Berlevag,NO,26.94,70.86,29.09,100,80,8.19
156,San Patricio,PY,65.91,-26.98,-56.83,72,20,3.94
157,Avarua,CK,84.2,-21.21,-159.78,70,0,16.11
158,Russellville,US,75,35.28,-93.13,88,1,5.82
159,Vysokogornyy,RU,30.9,50.1,139.13,71,24,3.15
160,Lebu,ET,59,8.96,38.73,82,75,2.24
161,Dhar,IN,66.09,22.6,75.31,73,0,2.93
162,Mailani,IN,69.51,28.29,80.34,73,32,6.85
163,Alamogordo,US,81,32.9,-105.96,11,1,20.8
164,Nanortalik,GL,29.01,60.14,-45.24,95,56,3.38
165,Tommot,RU,28.02,58.97,126.27,67,68,3.49
166,Port Lincoln,AU,65.82,-34.72,135.86,89,92,18.25
167,Mata,CU,80.6,22.63,-79.93,65,75,17.22
168,Guantanamo,BO,65.01,-16.14,-62.05,69,0,4.05
169,Padang,ID,75.2,-0.92,100.36,94,20,2.24
170,College,US,55.99,64.86,-147.8,29,20,7.29
171,Otane,NZ,55.99,-39.89,176.62,96,92,6.96
172,Rio Gallegos,AR,48.2,-51.62,-69.22,70,75,3.36
173,Faya,SA,62.6,18.39,42.45,54,0,2.37
174,Puerto Madryn,AR,64.83,-42.77,-65.04,73,0,13.67
175,Meulaboh,ID,79.86,4.14,96.13,100,44,2.26
176,Rawson,AR,64.29,-43.3,-65.11,52,8,14.45
177,Fukue,JP,64,35.03,136.69,67,20,11.41
178,Methala,IN,80.6,10.22,76.22,88,20,3.38
179,Vostok,RU,36.39,46.45,135.83,83,32,2.93
180,Pevek,RU,5.52,69.7,170.27,99,12,5.06
181,Isangel,VU,80.6,-19.55,169.27,65,20,5.82
182,Bintulu,MY,77,3.17,113.03,100,75,3.36
183,Goure,NE,88.14,13.98,10.27,31,24,8.97
184,Kavieng,PG,80.04,-2.57,150.8,100,76,5.06
185,Ponta do Sol,BR,67.17,-20.63,-46,95,92,2.37
186,Shache,CN,44.31,38.42,77.24,66,68,3.38
187,Bethel,US,41,60.79,-161.76,65,90,9.17
188,Yenagoa,NG,79.14,4.92,6.26,84,32,6.29
189,Nemuro,JP,39.2,43.32,145.57,64,40,6.93
190,Inhambane,MZ,78.06,-23.87,35.38,90,92,8.75
191,Senneterre,CA,33.8,48.39,-77.24,37,90,10.29
192,Alofi,NU,86,-19.06,-169.92,74,8,9.17
193,Cherskiy,RU,21,68.75,161.3,75,0,2.48
194,Ilulissat,GL,39.2,69.22,-51.1,48,44,13.87
195,Abatskoye,RU,23.79,56.29,70.46,64,0,6.51
196,Derzhavinsk,KZ,30.99,51.1,66.31,79,0,7.96
197,Guerrero Negro,MX,76.71,27.97,-114.04,44,0,15.01
198,San Lorenzo,HN,87.15,13.43,-87.45,64,0,11.1
199,Minapasuk,PH,81.03,10.7,123.35,91,36,6.85
200,Salina,US,79,36.29,-95.15,57,1,3.36
201,Mecca,SA,69.51,21.43,39.83,66,0,2.59
202,Beboto,TD,81.21,8.27,16.94,63,0,16.8
203,Sola,NO,42.8,58.89,5.65,81,75,4.27
204,Conway,US,71.6,35.09,-92.44,100,40,4.7
205,Vila Velha,BR,82.99,-3.71,-38.6,78,0,8.05
206,Saskylakh,RU,12.99,71.97,114.09,75,0,7.4
207,Katsuura,JP,55.99,33.93,134.5,82,20,10.29
208,Poum,MK,45.57,41.28,20.71,99,92,1.92
209,Khatanga,RU,3.72,71.98,102.47,62,8,3.71
210,Alice Springs,AU,80.6,-23.7,133.88,30,0,6.73
211,Bubaque,GW,81.12,11.28,-15.83,96,24,12.21
212,Bonavista,CA,32,48.65,-53.11,87,88,4
213,Luena,AO,66.54,-11.78,19.91,91,76,2.59
214,Airai,TL,75.99,-8.93,125.41,79,0,1.25
215,Linjiang,CN,35.94,41.81,126.91,43,0,5.5
216,Sungaipenuh,ID,66.99,-2.08,101.38,94,36,1.25
217,Big Spring,US,84.2,32.25,-101.48,24,1,10.29
218,Ellisras,ZA,66.09,-23.67,27.74,83,36,8.86
219,Bhim Tal,IN,52.86,29.35,79.57,77,12,3.38
220,Oranjestad,AW,80.6,12.52,-70.03,74,20,21.92
221,Kodiak,US,71.01,39.95,-94.76,68,1,14.99
222,Kroya,ID,75.45,-6.5,108.06,93,32,3.38
223,Lorengau,PG,81.39,-2.02,147.27,100,80,3.6
224,Nikolskoye,RU,41,59.7,30.79,65,20,8.95
225,Ahipara,NZ,63.93,-35.17,173.16,89,92,20.94
226,Songkhla,TH,78.8,7.2,100.6,94,20,6.73
227,Carballo,ES,55,43.21,-8.69,93,75,6.93
228,Lompoc,US,81,34.64,-120.46,49,1,16.11
229,Husavik,CA,44.01,50.56,-96.99,86,44,5.39
230,Torbay,CA,33.01,47.66,-52.73,85,90,4.7
231,Sociedad,SV,86.25,13.7,-88.01,35,48,2.82
232,Opuwo,NA,63.39,-18.06,13.84,54,0,4.16
233,Wad Rawah,SD,63.03,15.16,33.13,53,0,2.48
234,Port Macquarie,AU,86,-31.43,152.91,53,36,4.7
235,Tuatapere,NZ,64.99,-46.13,167.69,57,48,1.99
236,Mayumba,GA,81.57,-3.44,10.65,95,80,0.58
237,Talcahuano,CL,55.4,-36.72,-73.12,93,0,3.36
238,Visby,SE,30.99,57.64,18.3,92,12,4.7
239,Caravelas,BR,83.28,-17.73,-39.27,95,0,13.22
240,Constantine,DZ,42.8,36.36,6.61,75,40,11.41
241,Tres Marias,MX,89.6,19.06,-99.24,23,20,8.05
242,Venafro,IT,51.8,41.48,14.05,81,40,3.36
243,Chara,GR,55.99,39.42,22.43,93,40,4.7
244,Taga,JP,57.99,35.21,136.34,67,20,11.41
245,Mehamn,NO,23.61,71.03,27.85,86,64,5.84
246,Santa Maria do Para,BR,77.07,-1.35,-47.58,93,92,3.38
247,Curaca,BR,71.94,-8.99,-39.91,92,12,2.82
248,Victoria,BN,78.8,5.28,115.24,94,75,3.27
249,Petropavlovsk-Kamchatskiy,RU,37.4,53.05,158.65,59,40,6.71
250,Coos Bay,US,60.01,43.37,-124.22,100,90,18.34
251,Cartagena,ES,60.01,37.63,-1,58,0,6.93
252,Laguna,MX,86,27.52,-110.01,30,5,12.75
253,Khasan,RU,42.06,42.43,130.64,70,0,9.64
254,Tarauaca,BR,75.54,-8.16,-70.77,74,64,3.71
255,Coffs Harbour,AU,86,-30.3,153.13,57,0,10.29
256,Gazanjyk,TM,54.84,39.24,55.52,90,88,2.93
257,Te Anau,NZ,58.62,-45.41,167.72,52,20,4.27
258,Verkhniy baskunchak,KZ,48.09,48.23,46.72,96,80,6.96
259,Orlik,RU,15.87,52.51,99.83,87,76,2.48
260,Skibbereen,IE,46.4,51.55,-9.27,93,75,14.99
261,Aasiaat,GL,30.36,68.71,-52.87,85,44,10.76
262,Kelowna,CA,59,49.89,-119.5,26,40,18.34
263,Kargasok,RU,25.68,59.06,80.87,83,44,5.95
264,Anchorage,US,54,61.22,-149.89,43,75,2.37
265,Praia da Vitoria,PT,54,38.73,-27.07,93,40,23.17
266,Kysyl-Syr,RU,25.41,63.9,122.77,72,0,4.61
267,Kattivakkam,IN,82.4,13.22,80.32,83,20,4.7
268,Lazaro Cardenas,MX,78.8,28.39,-105.62,18,20,10.29
269,Monmouth,GB,51.01,51.81,-2.72,100,90,2.82
270,Zhigansk,RU,25.5,66.77,123.37,76,24,6.73
271,Pingliang,CN,56.01,35.54,106.68,59,92,2.93
272,Kerema,PG,80.85,-7.96,145.78,82,48,1.14
273,Oostkamp,BE,50,51.15,3.23,87,75,6.93
274,Shaunavon,CA,54.21,49.65,-108.41,34,100,17.02
275,Buala,SB,84.99,-8.15,159.59,88,20,3.27
276,Hope,CA,57.99,49.38,-121.43,62,75,11.41
277,Sychevka,RU,39.27,55.83,34.27,74,80,11.43
278,Marovoay,MG,80.6,-16.11,46.64,88,20,7.85
279,Havoysund,NO,26.6,71,24.66,58,80,16.11
280,Tabas,IR,66.2,33.6,56.92,68,64,2.24
281,Yeppoon,AU,78.8,-23.13,150.74,57,20,6.93
282,Tyukhtet,RU,21.72,56.54,89.31,84,64,7.18
283,Sao Joao da Barra,BR,80.6,-21.64,-41.05,78,0,11.41
284,Bose,IT,48.2,45.46,8.01,87,40,5.82
285,Redlands,US,87.8,34.06,-117.19,28,1,6.93
286,Plettenberg Bay,ZA,65.55,-34.05,23.37,87,32,10.54
287,Gat,SN,73.4,14.69,-16.54,43,0,19.46
288,Coahuayana,MX,84.54,18.62,-100.35,18,0,2.71
289,Ternate,PH,87.01,14.29,120.72,66,20,6.93
290,Baykit,RU,19.11,61.68,96.39,86,48,8.63
291,Abu Samrah,SY,56.19,35.3,37.18,94,76,3.71
292,Wiang Sa,TH,80.01,8.64,99.37,94,20,1.48
293,Itaituba,BR,75.45,-4.26,-55.99,97,48,2.26
294,Shiyan,CN,60.24,32.65,110.78,83,12,1.25
295,Tual,ID,83.82,-5.67,132.75,99,0,4.83
296,Tocopilla,CL,63.84,-22.09,-70.2,100,8,5.5
297,Vila Franca do Campo,PT,55.4,37.72,-25.43,76,40,9.17
298,Dzaoudzi,YT,78.8,-12.79,45.27,94,0,4.7
299,Yashan,CN,70.86,30.81,118.02,84,0,3.38
300,Dawlatabad,AF,53.76,36.41,64.91,82,20,3.49
301,Kitimat,CA,42.01,54.02,-128.69,93,90,21.92
302,Tiznit,MA,58.71,29.7,-9.73,93,48,4.38
303,Ridgecrest,US,82.99,35.62,-117.67,20,75,9.17
304,Abaete,BR,70.77,-19.16,-45.45,82,64,3.49
305,Muros,ES,55.99,42.77,-9.06,100,75,4.7
306,Souillac,FR,46.99,45.6,-0.6,100,0,5.82
307,Itarema,BR,77.34,-2.92,-39.92,93,0,7.63
308,Piacabucu,BR,82.29,-10.41,-36.43,70,92,8.86
309,Kalengwa,ZM,67.44,-13.47,25,84,44,4.16
310,Deputatskiy,RU,19.74,69.3,139.9,87,0,3.94
311,Kangaatsiaq,GL,28.56,68.31,-53.46,83,32,6.29
312,Igarka,RU,13.62,67.47,86.57,74,12,10.42
313,Uusikaupunki,FI,33.8,60.8,21.41,100,80,4.7
314,Goya,AR,62.13,-29.14,-59.27,71,0,3.71
315,Dunedin,NZ,60.01,-45.87,170.5,65,0,21
316,Charcas,MX,68.16,23.13,-101.11,20,0,5.73
317,Palana,RU,31.8,59.08,159.95,67,0,9.19
318,Sarana,RU,35.31,56.48,57.73,91,88,6.29
319,Kumluca,TR,35.49,36.37,30.29,89,12,0.58
320,Bichena,ET,56.82,10.45,38.2,94,88,1.59
321,Shimoda,JP,55.4,34.7,138.93,93,75,20.8
322,Corn Island,NI,81.21,12.17,-83.04,97,8,13.22
323,Grand-Lahou,CI,79.77,5.24,-5,84,48,4.5
324,Grand Gaube,MU,80.6,-20.01,57.66,78,40,14.99
325,Jacareacanga,BR,74.1,-6.22,-57.76,91,76,2.15
326,Sabang,PH,80.67,13.72,123.58,86,36,6.06
327,Brigantine,US,61,39.41,-74.36,76,1,6.93
328,Iwaki,JP,48,37.05,140.89,41,75,13.87
329,Tres Arroyos,AR,69.87,-38.38,-60.28,44,0,11.21
330,Westport,IE,46.99,53.8,-9.52,84,56,8.01
331,Esperance,TT,80.6,10.24,-61.45,69,20,8.05
332,Ginir,ET,53.58,7.14,40.71,70,8,2.82
333,Madimba,CM,80.6,4.42,9.93,100,75,5.82
334,Maputo,MZ,73.4,-25.97,32.57,83,75,4.7
335,Balkanabat,TM,52.59,39.51,54.36,69,68,2.93
336,Salalah,OM,78.8,17.01,54.1,83,75,3.36
337,Chopda,IN,66.36,21.25,75.3,68,0,1.81
338,Saint-Joseph,FR,50,43.56,6.97,93,90,4.7
339,Trat,TH,84.99,12.25,102.51,100,24,3.38
340,Sosva,RU,35.13,59.17,61.86,84,76,6.51
341,Svetlogorsk,RU,33.8,53.14,59.15,80,36,2.24
342,Bud,NO,37.4,62.91,6.91,55,32,8.05
343,Nguru,NG,87.06,12.88,10.45,36,76,10.42
344,Sitka,US,73.99,37.17,-99.65,24,0,7
345,Flinders,AU,84.99,-34.58,150.85,38,0,8.05
346,Pardina,RO,50,45.31,28.96,87,80,6.93
347,Saldanha,PT,47.82,41.42,-6.55,97,92,8.75
348,Tefe,BR,75.27,-3.35,-64.71,93,44,7.4
349,Barcelos,PT,55.4,41.53,-8.62,93,40,5.82
350,Bure,NG,83.91,10.52,10.33,41,8,4.61
351,Axim,GH,83.64,4.87,-2.24,96,44,11.99
352,Onega,RU,27.57,63.91,38.09,76,36,3.71
353,Aden,YE,80.4,12.79,45.03,98,0,15.68
354,Abu Dhabi,AE,86,24.47,54.37,28,0,5.82
355,Poninka,UA,45.12,50.19,27.56,87,12,3.04
356,Matinhos,BR,72,-25.82,-48.53,100,75,3.36
357,Lubao,PH,87.01,14.94,120.6,83,75,2.24
358,Manzil Salim,TN,39.2,35.86,8.48,93,40,5.82
359,Sibolga,ID,69.42,1.74,98.78,100,20,1.25
360,San Quintin,PH,78.33,17.54,120.52,81,0,3.71
361,Barabai,ID,75.81,-2.59,115.38,96,92,2.37
362,Champerico,MX,95,16.38,-93.6,30,40,17.22
363,Havre-Saint-Pierre,CA,19.4,50.23,-63.6,34,20,12.75
364,Sao Felix do Xingu,BR,75.09,-6.64,-51.99,97,100,1.59
365,Pimentel,BR,75.72,-3.7,-45.5,96,80,1.59
366,Kodino,RU,24.87,63.72,39.64,74,36,1.59
367,Yerbogachen,RU,28.56,61.28,108.01,73,56,6.62
368,Sosnovo-Ozerskoye,RU,19.56,52.53,111.54,63,0,2.59
369,Talnakh,RU,15.42,69.49,88.39,93,76,10.98
370,Kavaratti,IN,84.9,10.57,72.64,100,0,6.85
371,Kurchum,KZ,29.73,48.57,83.65,67,0,9.42
372,Soligalich,RU,30.99,59.08,42.29,90,56,7.18
373,Namatanai,PG,80.76,-3.66,152.44,100,76,9.64
374,Ganzhou,CN,69.06,25.86,114.93,91,24,3.49
375,Namibe,AO,76.44,-15.19,12.15,100,0,4.83
376,Hirara,JP,75.2,24.8,125.28,100,20,2.24
377,Gao,ML,74.82,16.28,-0.04,25,0,8.75
378,Portland,US,53.01,45.52,-122.67,81,90,6.93
379,Bandarbeyla,SO,79.32,9.49,50.81,100,0,6.17
380,Port Augusta,AU,66.99,-32.49,137.76,67,0,9.17
381,Sovetskiy,RU,31.26,56.76,48.47,92,24,13
382,Aswan,EG,73.2,24.09,32.9,37,0,10.31
383,Maturin,VE,82.47,9.75,-63.18,49,0,9.31
384,Chumikan,RU,36.39,54.72,135.31,81,64,3.38
385,Gurlan,UZ,50,41.84,60.39,70,0,4.7
386,Kolokani,ML,79.41,13.58,-8.03,27,0,10.54
387,Antsohihy,MG,76.08,-14.88,47.99,82,12,9.19
388,Longyearbyen,NO,5,78.22,15.63,92,20,4.7
389,Quatre Cocos,MU,80.6,-20.21,57.76,78,40,14.99
390,Talaya,RU,26.6,55.79,84.89,68,0,6.71
391,Port-Gentil,GA,77,-0.72,8.78,94,75,16.11
392,Birjand,IR,60.8,32.86,59.22,51,75,4.83
393,Saint-Francois,FR,46.4,46.42,3.91,93,90,4.7
394,Killybegs,IE,48,54.63,-8.45,81,36,5.99
395,Praia,BR,73.4,-20.25,-43.81,73,20,3.36
396,Puerto del Rosario,ES,64.4,28.5,-13.86,72,68,6.93
397,Maldonado,UY,57.2,-34.91,-54.96,87,0,4.7
398,Santa Marinella,IT,50,42.04,11.87,87,0,4.7
399,Schio,IT,51.01,45.71,11.36,87,0,3.36
400,Margate,AU,60.01,-43.03,147.26,44,20,11.41
401,Trairi,BR,84.09,-3.28,-39.27,97,0,15.46
402,San-Pedro,CI,81.21,4.75,-6.64,82,32,9.19
403,Myitkyina,MM,63.84,25.38,97.4,100,92,2.37
404,Sinop,TR,48.81,42.03,35.15,94,32,3.71
405,San Cristobal,EC,59,-0.39,-78.55,87,40,9.17
406,Nishihara,JP,50,35.74,139.53,87,90,4.7
407,Batticaloa,LK,76.62,7.71,81.69,100,8,3.83
408,San Juan,PH,87.01,14.6,121.03,66,20,6.93
409,Save,BJ,74.55,8.04,2.49,96,88,4.05
410,Puyang,CN,56.91,35.76,115.02,86,92,9.42
411,Dingle,PH,81.12,11,122.67,73,0,10.87
412,Katherine,AU,78.8,-14.47,132.26,83,75,11.41
413,Yazman,SY,53.31,36.74,38.46,98,92,4.61
414,Tazovskiy,RU,26.94,67.47,78.7,94,92,6.96
415,Kothi,IN,69.42,24.76,80.77,69,12,2.71
416,Anadyr,RU,12.2,64.73,177.51,78,0,4.47
417,Fort Nelson,CA,37.4,58.81,-122.69,74,75,2.24
418,Catazaja,MX,96.8,17.73,-92.02,41,40,5.82
419,Swift Current,CA,55.4,50.29,-107.8,26,75,12.75
420,Lokot,RU,47.46,52.57,34.57,61,92,18.03
421,Tongren,CN,68.34,27.72,109.18,91,92,6.4
422,Monaco-Ville,FR,50,43.73,7.42,81,0,6.93
423,Xinye,CN,69.06,32.53,112.36,78,12,11.43
424,Punta Alta,AR,71.6,-27.46,-55.82,73,20,8.05
425,Cooma,AU,64.4,-36.24,149.13,42,0,18.34
426,Rio Branco,BR,75.2,-9.98,-67.82,94,75,2.24
427,Joshimath,IN,8.67,30.57,79.57,100,0,1.36
428,Tondon,GN,74.91,10.37,-13.36,80,44,2.71
429,Hobyo,SO,76.53,5.35,48.53,91,0,7.96
430,Magadan,RU,32.79,59.56,150.8,89,36,13.67
431,Ushtobe,KZ,33.96,45.25,77.98,62,0,11.21
432,Cortez,US,64.4,37.35,-108.58,22,1,9.17
433,Tucumcari,US,78.8,35.17,-103.73,16,1,3.36
434,Yumen,CN,40.44,40.29,97.04,69,88,14.79
435,Panji,CN,75,32.78,116.82,53,12,3
436,Buchanan,LR,80.6,5.88,-10.05,88,75,6.73
437,Paramonga,PE,68.16,-10.68,-77.82,96,56,5.95
438,Lerwick,GB,42.8,60.15,-1.15,96,0,28.86
439,Primorsk,RU,39.99,60.37,28.62,88,88,8.99
440,Skelleftea,SE,30.99,64.75,20.95,63,92,13.87
